STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08
US1GADK0002,"TUCKER 2.3 W, GA US",1/23/17,,,0.49,,,,,,,,,,,,,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",1/24/17,,,0.01,,,,,,,,,,,,,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",1/25/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",1/26/17,,,0.1,,,,,,,,,,,,,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",1/27/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",1/28/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",1/29/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",1/30/17,,,0,,,,,,,,,,,,,,,,
US1GADK0002,"TUCKER 2.3 W, GA US",1/31/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/1/17,,,0.84,,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/2/17,,,0.28,,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/3/17,,,2.12,,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/4/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/5/17,,,0.02,,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/6/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/7/17,,,0.61,,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/8/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/9/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/10/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/11/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/12/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/13/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/14/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/15/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/16/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/17/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/18/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/19/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/20/17,,,0.42,,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/21/17,,,0.03,,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/22/17,,,2.93,,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/23/17,,,0.46,,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/24/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/25/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/26/17,,,0.16,,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/27/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/28/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/29/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/30/17,,,0,0,,,,,,,,,,,,,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",1/31/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/1/17,,,0.35,,,,,,,,,,,,,,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",1/2/17,,,0.62,,,,,,,,,,,,,,,,
